call option price0,stockprice0
4.39168,100
5.61602,102.718
4.98225,101.477
5.40151,102.43
5.95435,103.599
6.57598,104.831
7.16845,105.947
6.27164,104.411
5.34986,102.7
4.19791,100.278
4.55922,101.182
5.15368,102.529
5.37702,103.058
4.62997,101.581
5.21673,102.891
4.73521,101.971
3.38959,98.8916
4.45384,101.526
5.35954,103.488
5.34743,103.542
5.73216,104.358
5.21151,103.433
5.98997,104.986
6.07144,105.208
6.82185,106.588
5.29615,103.919
3.93668,101.149
4.86852,103.24
5.67679,104.875
4.7541,103.178
4.81551,103.387
5.06996,103.974
5.41271,104.707
5.49446,104.94
4.81296,103.727
4.55944,103.307
4.20502,102.662
4.26083,102.873
4.26692,102.978
3.7028,101.849
3.60493,101.726
2.27184,98.323
1.8059,96.8958
1.98271,97.6364
2.11251,98.1856
1.73282,97.0191
1.41712,95.9227
1.29249,95.5264
1.47725,96.4494
2.00831,98.485
1.39026,96.3796
0.928139,94.3308
0.813672,93.8287
0.614051,92.6538
0.527373,92.1458
0.430264,91.4536
0.43289,91.6726
0.53117,92.738
0.454421,92.2673
0.396851,91.913
0.454811,92.6701
0.343241,91.7602
0.356215,92.1177
0.419844,92.9705
0.302159,91.9443
0.356592,92.782
0.358371,93.0266
0.42048,93.8507
0.445094,94.2912
0.557062,95.379
0.25939,92.8551
0.311223,93.7221
0.387284,94.7273
0.415347,95.2203
0.368813,95.0632
0.231881,93.8419
0.240268,94.2363
0.161483,93.3827
0.120667,92.9198
0.282279,95.6015
0.363175,96.6582
0.292228,96.3143
0.266567,96.3732
0.463153,98.288
0.286385,97.2344
0.0831479,94.6657
0.017235,92.1627
0.0145983,92.4312
0.0116153,92.6502
0.00962766,92.9887
0.00863663,93.4938
0.0162466,95.0445
0.0935717,98.3336
0.0501391,98.0004
0.103404,99.7286
0.057597,99.664
0.0418882,100.177
0.0028132,99.1616
5.31791e-05,99.3284
0,100.229
call option price1,stockprice1
4.39168,100
4.53751,100.415
5.54113,102.64
5.91332,103.448
5.50871,102.721
5.75922,103.292
4.32859,100.335
3.65716,98.7844
3.89147,99.4587
3.50257,98.5579
3.95213,99.777
3.29294,98.1776
2.93317,97.2582
2.85058,97.1101
3.13475,98.0194
2.88914,97.415
2.86788,97.4491
2.81044,97.3775
3.99719,100.575
