Results
Start date ,2011-07-05
End date ,2011-07-29
Option Type ,0
Expiry date ,2011-09-17
Strike price ,500


Date,Stock Price,Option Price,Implied Volatility,Delta,Cumulative hedging error,PNL
2011-Jul-05,532.44,44.2,0.259758,0.72261,0,0
2011-Jul-06,535.36,46.9,0.269412,0.733272,-0.658088,-2.7
2011-Jul-07,546.6,55.3,0.269972,0.787495,-0.841537,-11.1
2011-Jul-08,531.99,43.95,0.268663,0.719338,-1.01346,0.25
2011-Jul-11,527.28,41,0.276027,0.691472,-1.45261,3.2
2011-Jul-12,534.01,46.4,0.286876,0.722719,-2.20045,-2.2
2011-Jul-13,538.26,49.3,0.287215,0.745009,-2.03036,-5.1
2011-Jul-14,528.94,41.15,0.272243,0.706868,-0.823665,3.05
2011-Jul-15,597.62,99.65,0.282169,0.940334,-10.7901,-55.45
2011-Jul-18,594.94,97.65,0.300062,0.92666,-11.2813,-53.45
2011-Jul-19,602.55,103.8,0.267188,0.959781,-10.4149,-59.6
2011-Jul-20,595.35,97.8,0.299959,0.931774,-11.3172,-53.6
2011-Jul-21,606.99,108.15,0.276741,0.963738,-10.839,-63.95
2011-Jul-22,618.23,118.7,0.250918,0.985236,-10.5636,-74.5
2011-Jul-25,618.98,119.95,0.295548,0.971071,-11.0781,-75.75
2011-Jul-26,622.52,123.25,0.288698,0.977987,-10.9456,-79.05
2011-Jul-27,607.22,108.65,0.303891,0.958125,-11.2724,-64.45
2011-Jul-28,610.94,112.1,0.301583,0.965439,-11.162,-67.9
2011-Jul-29,603.69,106.8,0.369514,0.924974,-12.8668,-62.6
